link,ean,catI,catII,catIII,descricao,preco,imagem_link
https://www.superabc.com.br/7891149108428cerv-lata-skol-puro-malte-473ml/p,7891149108428,Bebidas,Cervejas,Premium,CERVEJA LATA SKOL PURO MALTE 473ML - UNIDADE,2.99,https://abcemcasa.vteximg.com.br/arquivos/ids/241799-1000-1000/Cerveja-Puro-Malte-Skol-473ml-Lata.png?v=636941533265500000
https://www.superabc.com.br/7896021314690-mac-s-amalia-fusilli-s-gluten-500g/p,7896021314690,Mercearia,Funcionais, Diet e Light,Sem Glúten,MACARRÃO SANTA AMÁLIA FUSILLI SEM  GLUTEN 500G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/261930-1000-1000/7896021314690.jpg?v=637002333197030000
https://www.superabc.com.br/7896102592993mh-heinz-manjeric-sache-340g/p,7896102592993,Mercearia,Conservas e Enlatados,Condimento e Temperos,MOLHO HEINZ MANJERIC SACHE 340G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/269150-1000-1000/7896102592993.jpg?v=637008075647070000
https://www.superabc.com.br/7898591451492-bala-fini-dentadura-250g/p,7898591451492,Mercearia,Bomboniere,Guloseimas,BALA FINI DENTADURA 250G - UNIDADE,9.99,https://abcemcasa.vteximg.com.br/arquivos/ids/250534-1000-1000/7898591451492.jpg?v=637002221292430000
https://www.superabc.com.br/7896021314683-mac-s-amalia-penne-s-gluten-500g/p,7896021314683,Mercearia,Funcionais, Diet e Light,Sem Glúten,MACARRÃO SANTA AMÁLIA PENNE SEM  GLUTEN 500G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/261996-1000-1000/7896021314683.jpg?v=637002333393400000
https://www.superabc.com.br/7896045523412cerv-lata-heineken-350ml/p,7896045523412,Bebidas,Cervejas,Premium,CERVEJA LATA HEINEKEN 350ML - UNIDADE,4.0,https://abcemcasa.vteximg.com.br/arquivos/ids/239276-1000-1000/7896045523412.jpg?v=636935437164100000
https://www.superabc.com.br/7896102000368catchup-heinz-bacon-397g/p,7896102000368,Mercearia,Conservas e Enlatados,Condimento e Temperos,CATCHUP HEINZ BACON 397G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/269140-1000-1000/7896102000368.jpg?v=637008075583800000
https://www.superabc.com.br/7898591451485-bala-fini-amoras-250g/p,7898591451485,Mercearia,Bomboniere,Guloseimas,BALA FINI AMORAS 250G - UNIDADE,9.99,https://abcemcasa.vteximg.com.br/arquivos/ids/250520-1000-1000/7898591451485.jpg?v=637002221232870000
https://www.superabc.com.br/cookies-intg-cereale-cacau-avela-140g/p,7891962042275,Mercearia,Funcionais, Diet e Light,Integrais,COOKIES INTEGRAL CEREALE CACAU AVELÃ 140G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/254667-1000-1000/7891962042275.jpg?v=637002257287100000
https://www.superabc.com.br/7896045505340cerv-lata--amstel-473ml/p,7896045505340,Bebidas,Cervejas,Premium,CERVEJA LATA  AMSTEL 473ML - UNIDADE,3.5,https://abcemcasa.vteximg.com.br/arquivos/ids/241005-1000-1000/7896045505340.jpg?v=636936307366730000
https://www.superabc.com.br/7898101668532pim-reino-preta-grao-multi-gosto-28g/p,7898101668532,Mercearia,Conservas e Enlatados,Condimento e Temperos,PIMENTA REINO PRETA GRÃO MULTI GOSTO 28G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/270054-1000-1000/7898101668532.jpg?v=637009662832200000
https://www.superabc.com.br/7898142861725-choc-tortuguita-bco-cookies-100g/p,7898142861725,Mercearia,Bomboniere,Bombons e Chocolates,CHOCOLATE TORTUGUITA BRANCO COOKIES 100G - UNIDADE,4.49,https://abcemcasa.vteximg.com.br/arquivos/ids/253787-1000-1000/7898142861725.jpg?v=637002253223800000
https://www.superabc.com.br/8008698008157-bisc-rech-schar-s-gluten-100g/p,8008698008157,Mercearia,Funcionais, Diet e Light,Sem Glúten,BISCOITO RECHEADO SCHAR SEM  GLUTEN 100G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/251732-1000-1000/Principal.jpg?v=637002226455970000
https://www.superabc.com.br/7891991010153-cerv-lata-sub-zero-473ml/p,7891991010153,Bebidas,Cervejas,Pilsen,CERVEJA LATA SUB ZERO 473ML - UNIDADE,2.39,https://abcemcasa.vteximg.com.br/arquivos/ids/228865-1000-1000/7891991010153.jpg?v=636933758296030000
https://www.superabc.com.br/7898958581510ketchup-bonna-mix-400g/p,7898958581510,Mercearia,Conservas e Enlatados,Condimento e Temperos,KETCHUP BONNA MIX 400G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/270646-1000-1000/7898958581510.jpg?v=637015570058530000
https://www.superabc.com.br/7898142861701-choc-tortuguita-croc-100g/p,7898142861701,Mercearia,Bomboniere,Bombons e Chocolates,CHOCOLATE TORTUGUITA CROC 100G - UNIDADE,4.49,https://abcemcasa.vteximg.com.br/arquivos/ids/253790-1000-1000/7898142861701.jpg?v=637002253237270000
https://www.superabc.com.br/7891991010023cerv-lata-sub-zero-350ml/p,7891991010023,Bebidas,Cervejas,Pilsen,CERVEJA LATA SUB ZERO 350ML - UNIDADE,1.99,https://abcemcasa.vteximg.com.br/arquivos/ids/238856-1000-1000/7891991010023.jpg?v=636935435182570000
https://www.superabc.com.br/8008698003503-bisc-schar-crakers-s-gluten-210g/p,8008698003503,Mercearia,Funcionais, Diet e Light,Sem Glúten,BISCOITO SCHAR CRAKERS SEM  GLUTEN 210G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/251782-1000-1000/Principal.jpg?v=637002226681570000
https://www.superabc.com.br/5601252112319az-vde-gallo-c-c-150g/p,5601252112319,Mercearia,Conservas e Enlatados,Outros,AZEITONA VERDE GALLO C/CAROÇO 150G - UNIDADE - AZEITONA VERDE GALLO C/CAROÇO  150G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/268815-1000-1000/5601252112319.jpg?v=637008073583900000
https://www.superabc.com.br/7898142854529-choc-tortuguita-ao-leite-c-4/p,7898142854529,Mercearia,Bomboniere,Bombons e Chocolates,CHOCOLATE TORTUGUITA AO LEITE COM 4 - UNIDADE,5.19,https://abcemcasa.vteximg.com.br/arquivos/ids/253782-1000-1000/7898142854529.jpg?v=637002253199170000
https://www.superabc.com.br/7891991010177cerv-lata-bohemia-269ml/p,7891991010177,Bebidas,Cervejas,Pilsen,CERVEJA LATA BOHEMIA 269ML,1.99,https://abcemcasa.vteximg.com.br/arquivos/ids/274628-1000-1000/7891991010177.jpg?v=637122718841770000
https://www.superabc.com.br/7898904507434most-gourmet-sabor-indias-jalapeno-335g/p,7898904507434,Mercearia,Conservas e Enlatados,Condimento e Temperos,MOSTARDA GOURMET SABOR INDIAS JALAPENO 335G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/274426-1000-1000/7898904507434.jpg?v=637032876183470000
https://www.superabc.com.br/7898908207248-manteiga-gran-mestri-0-lac-200g/p,7898908207248,Mercearia,Funcionais, Diet e Light,Sem Lactose,MANTEIGA GRAN MESTRI 0%LAC 200G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/262307-1000-1000/7898908207248.jpg?v=637002334324030000
https://www.superabc.com.br/7898120560725-suspiro-barbierie-trad-250g/p,7898120560725,Mercearia,Bomboniere,Doces Diversos,SUSPIRO BARBIERI TRADICIONAL 250G - UNIDADE,5.99,https://abcemcasa.vteximg.com.br/arquivos/ids/240072-1000-1000/7898120560725.jpg?v=636935440829470000
https://www.superabc.com.br/7891991014236-cerv-lata-bohemia-473ml/p,7891991014236,Bebidas,Cervejas,Premium,CERVEJA LATA BOHEMIA 473ML - UNIDADE,3.39,https://abcemcasa.vteximg.com.br/arquivos/ids/269043-1000-1000/7891991014236.jpg?v=637008075011200000
https://www.superabc.com.br/7898947526928pate-sabor-indias-pim-biq-def-350g/p,7898947526928,Mercearia,Conservas e Enlatados,Condimento e Temperos,PATÊ  SABOR INDIAS PIM BIQ DEF 350G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/274447-1000-1000/7898947526928.jpg?v=637032876393030000
https://www.superabc.com.br/7898120560664-suspiro-barbiere-mor150g/p,7898120560664,Mercearia,Bomboniere,Doces Diversos,SUSPIRO BARBIERE MORANGO150G - UNIDADE,4.79,https://abcemcasa.vteximg.com.br/arquivos/ids/227175-1000-1000/7898120560664.jpg?v=636933751234300000
https://www.superabc.com.br/oleo-coco-copra-s-sabor-500ml/p,7898596080581,Mercearia,Funcionais, Diet e Light,Integrais,ÓLEO COCO COPRA S SABOR 500ML - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/266171-1000-1000/7898596080581.jpg?v=637002782231730000
https://www.superabc.com.br/cerv-ln-heineken-330ml/p,78936683,Bebidas,Cervejas,Premium,CERVEJA LONG NECK HEINEKEN 330ML - UNIDADE,4.79,https://abcemcasa.vteximg.com.br/arquivos/ids/242452-1000-1000/78936683.jpg?v=636943335304800000
https://www.superabc.com.br/7891700012102tempero-arisco-alho-sal-300g/p,7891700012102,Mercearia,Conservas e Enlatados,Condimento e Temperos,TEMPERO ARISCO ALHO SAL 300G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/245625-1000-1000/Principal.png?v=636949236841900000
https://www.superabc.com.br/7898120560657-suspiro-barbiere-limao-150g/p,7898120560657,Mercearia,Bomboniere,Doces Diversos,SUSPIRO BARBIERE LIMÃO 150G - UNIDADE,4.79,https://abcemcasa.vteximg.com.br/arquivos/ids/227174-1000-1000/7898120560657.jpg?v=636933751225830000
https://www.superabc.com.br/acucar-coco-copra-sache-100g/p,7898596080376,Mercearia,Funcionais, Diet e Light,Integrais,AÇÚCAR COCO COPRA SACHE 100G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/266170-1000-1000/7898596080376.jpg?v=637002782225730000
https://www.superabc.com.br/7896423419276choc-m-m-ao-leite-tubo-30g/p,7896423419276,Mercearia,Bomboniere,Bombons e Chocolates,CHOCOLATE M&M AO LEITE TUBO 30G - UNIDADE,3.49,https://abcemcasa.vteximg.com.br/arquivos/ids/253693-1000-1000/Principal.jpg?v=637002252838100000
https://www.superabc.com.br/7897395099329-cerv-lt-petra-puro-malte-350ml/p,7897395099329,Bebidas,Cervejas,Premium,CERVEJA LT PETRA PURO MALTE 350ML - UNIDADE,2.49,https://abcemcasa.vteximg.com.br/arquivos/ids/241596-1000-1000/7897395099329.jpg?v=636936310479830000
https://www.superabc.com.br/7891700011266tempero-arisco-completo-s-pimenta-1kg/p,7891700011266,Mercearia,Conservas e Enlatados,Condimento e Temperos,TEMPERO ARISCO COMPLETO S PIMENTA 1KG - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/237218-1000-1000/7891700011266.jpg?v=636935429229000000
https://www.superabc.com.br/7898205924688-whey-vde-campo-lacfree-pasta-amend-250g/p,7898205924688,Mercearia,Funcionais, Diet e Light,Sem Lactose,WHEY VERDE CAMPO LACFREE PASTA AMENDOIM 250G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/227405-1000-1000/7898205924688.jpg?v=636933752559400000
https://www.superabc.com.br/7891149107797-cerv-lata-brahma-350ml-c-18/p,7891149107797,Bebidas,Cervejas,Pilsen,CERVEJA LATA BRAHMA 350ML C/18 - UNIDADE,41.22,https://abcemcasa.vteximg.com.br/arquivos/ids/245502-1000-1000/2019272.jpg?v=636949193540400000
https://www.superabc.com.br/7896262304351bala-mentos-stick-fruit-375g/p,7896262304351,Mercearia,Bomboniere,Guloseimas,BALA MENTOS STICK FRUIT 37,5G - UNIDADE,1.99,https://abcemcasa.vteximg.com.br/arquivos/ids/250606-1000-1000/7896262304351.jpg?v=637002221618600000
https://www.superabc.com.br/7891700011204tempero-arisco-completo-s-pimenta-300g/p,7891700011204,Mercearia,Conservas e Enlatados,Condimento e Temperos,TEMPERO ARISCO COMPLETO S PIMENTA 300G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/245627-1000-1000/Principal.png?v=636949239675570000
https://www.superabc.com.br/7898205924480-iog-vde-campo-lacfree-mor-170g/p,7898205924480,Mercearia,Funcionais, Diet e Light,Sem Lactose,IOGURTE VERDE CAMPO LACFREE MORANGO 170G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/258995-1000-1000/224395_Iogurte-Lacfree-Sabor-Morango-Verde-Campo-170g.jpg?v=637002309519870000
https://www.superabc.com.br/7898945987042-cerv-lata-proibida-473ml/p,7898945987042,Bebidas,Cervejas,Pilsen,CERVEJA LATA PROIBIDA 473ML - UNIDADE,1.99,https://abcemcasa.vteximg.com.br/arquivos/ids/244461-1000-1000/Principal.png?v=636947778805570000
https://www.superabc.com.br/7896262304306bala-mentos-stick-mint-375g/p,7896262304306,Mercearia,Bomboniere,Guloseimas,BALA MENTOS STICK MINT 37,5G - UNIDADE,1.99,https://abcemcasa.vteximg.com.br/arquivos/ids/250619-1000-1000/7896262304306.jpg?v=637002221670500000
https://www.superabc.com.br/7898205924466-iog-vde-campo-lacfree-ban-maca-170g/p,7898205924466,Mercearia,Funcionais, Diet e Light,Sem Lactose,IOGURTE VERDE CAMPO LACFREE BANANA MAÇÃ 170G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/258991-1000-1000/224393_Iogurte-Lacfree-Sabor-Banana-Maca-e-Mamao-Verde-Campo-170g.jpg?v=637002309502530000
https://www.superabc.com.br/7898367983790-cerv-lata-eisenbahn-pilsen-350ml/p,7898367983790,Bebidas,Cervejas,Premium,CERVEJA LATA EISENBAHN PILSEN 350ML - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/269316-1000-1000/7898367983790.jpg?v=637008076606130000
https://www.superabc.com.br/7891700011006tempero-arisco-completo-300g/p,7891700011006,Mercearia,Conservas e Enlatados,Condimento e Temperos,TEMPERO ARISCO COMPLETO 300G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/245626-1000-1000/Principal.png?v=636949236844400000
https://www.superabc.com.br/7896262301022bala-mastig-fruittella-mor-40g/p,7896262301022,Mercearia,Bomboniere,Guloseimas,BALA MASTIGÁVEL FRUITTELLA MORANGO 40G - UNIDADE,2.0,https://abcemcasa.vteximg.com.br/arquivos/ids/250591-1000-1000/7896262301022.jpg?v=637002221550970000
https://www.superabc.com.br/7898205923988-iog-vde-campo-lac-s-ac-nat-500g/p,7898205923988,Mercearia,Funcionais, Diet e Light,Sem Lactose,IOGURTE POLPA VERDE CAMPO LACFREE NAT SEM  AC 500 - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/269299-1000-1000/7898205923988.jpg?v=637008076515870000
https://www.superabc.com.br/7898367980041cerv-ln-eisenbahn-weiss-355ml/p,7898367980041,Bebidas,Cervejas,Artesanais,CERVEJA LONG NECK EISENBAHN WEISS 355ML - UNIDADE,4.79,https://abcemcasa.vteximg.com.br/arquivos/ids/230386-1000-1000/7898367980041.jpg?v=636933765019070000
https://www.superabc.com.br/7891150062122kit-hellmanns-combo-burger-house/p,7891150062122,Mercearia,Conservas e Enlatados,Condimento e Temperos,KIT HELLMANNS COMBO BURGER HOUSE - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/269022-1000-1000/7891150062122.jpg?v=637008074860630000
https://www.superabc.com.br/7896259411970caram-embare-leite-cond-150g/p,7896259411970,Mercearia,Bomboniere,Guloseimas,CARAMELO EMBARÉ LEITE CONDENSADO 150G - UNIDADE,3.49,https://abcemcasa.vteximg.com.br/arquivos/ids/253049-1000-1000/7896259411970.jpg?v=637002250294030000
https://www.superabc.com.br/7898367980010cerv-ln-eisenbahn-pilsen-355ml/p,7898367980010,Bebidas,Cervejas,Artesanais,CERVEJA LONG NECK EISENBAHN PILSEN 355ML - UNIDADE,3.99,https://abcemcasa.vteximg.com.br/arquivos/ids/239244-1000-1000/7898367980010.jpg?v=636935437009470000
https://www.superabc.com.br/3435649823289ervilha-fresca-vernet-200g/p,3435649823289,Mercearia,Conservas e Enlatados,Outros,ERVILHA FRESCA VERNET 200G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/256189-1000-1000/401dccb9ce84bc02c95ddf36ed24c6f0deb197ca88451e84e2ff407256a44758_full.jpg?v=637002278027870000
https://www.superabc.com.br/7898205923643-iog-vde-campo-lacfree-nat-500g/p,7898205923643,Mercearia,Funcionais, Diet e Light,Sem Lactose,IOGURTE VERDE CAMPO LACFREE NAT 500G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/259001-1000-1000/iogurte-tradicional-500g-2.jpg?v=637002309536800000
https://www.superabc.com.br/7891991014786cerv-gfa-budweiser-550ml/p,7891991014786,Bebidas,Cervejas,Premium,CERVEJA GARRAFA BUDWEISER 550ML - UNIDADE,5.99,https://abcemcasa.vteximg.com.br/arquivos/ids/265920-1000-1000/7891991014786.jpg?v=637002780825770000
https://www.superabc.com.br/7896259411956caram-embare-meio-a-meio-150g/p,7896259411956,Mercearia,Bomboniere,Guloseimas,CARAMELO EMBARÉ MEIO A MEIO 150G - UNIDADE,3.49,https://abcemcasa.vteximg.com.br/arquivos/ids/253052-1000-1000/7896259411956.jpg?v=637002250308770000
https://www.superabc.com.br/3435649823272milho-vde-vernet-200g/p,3435649823272,Mercearia,Conservas e Enlatados,Outros,MILHO VERDE VERNET 200G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/269484-1000-1000/3435649823296.jpg?v=637008932579430000
https://www.superabc.com.br/7898176580616-snack-bio2-cranberry-amendoa-50g/p,7898176580616,Mercearia,Funcionais, Diet e Light,Integrais,SNACK BIO2 CRANBERRY AMÊNDOA 50G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/245587-1000-1000/Principal.png?v=636949218776400000
https://www.superabc.com.br/7891991010481cerv-lata-budweiser-350ml/p,7891991010481,Bebidas,Cervejas,Premium,CERVEJA LATA BUDWEISER 350ML - UNIDADE,3.29,https://abcemcasa.vteximg.com.br/arquivos/ids/239385-1000-1000/7891991010481.jpg?v=636935437642000000
https://www.superabc.com.br/7898936630940-mix-frutas-cast-fontini-250g/p,7898936630940,Mercearia,Conservas e Enlatados,Outros,MIX FRUTAS CASTANHA FONTINI 250G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/262765-1000-1000/7898936630940.jpg?v=637002335744400000
https://www.superabc.com.br/78905498cerv-gfa-heineken-600ml/p,78905498,Bebidas,Cervejas,Premium,CERVEJA GARRAFA HEINEKEN 600ML - UNIDADE,7.99,https://abcemcasa.vteximg.com.br/arquivos/ids/239619-1000-1000/78905498.jpg?v=636935438735700000
https://www.superabc.com.br/7898176580555-br-nuts-bio2-cranberry-7-cast-75g/p,7898176580555,Mercearia,Funcionais, Diet e Light,Cereais,BARRA DE CEREAL NUTS BIO2 CRANBERRY 7 CASTANHA 75G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/250776-1000-1000/7898176580555.jpg?v=637002222360930000
https://www.superabc.com.br/7896079841131-palito-montevergine-choc-60g/p,7896079841131,Mercearia,Bomboniere,Guloseimas,PALITO MONTEVERGINE CHOCOLATE 60G - UNIDADE,4.19,https://abcemcasa.vteximg.com.br/arquivos/ids/263606-1000-1000/7896079841131.jpg?v=637002347762830000
https://www.superabc.com.br/7898936630209-az-vde-fontini-c-c-500g/p,7898936630209,Mercearia,Conservas e Enlatados,Outros,AZEITONA VERDE FONTINI C/CAROÇO 500G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/269372-1000-1000/7898936630209.jpg?v=637008076913100000
https://www.superabc.com.br/7898904771606cerv-lata-devassa-lager-350ml/p,7898904771606,Bebidas,Cervejas,Premium,CERVEJA LATA DEVASSA LAGER 350ML - UNIDADE,2.49,https://abcemcasa.vteximg.com.br/arquivos/ids/269348-1000-1000/7898904771606.jpg?v=637008076783500000
https://www.superabc.com.br/7898176580418-br-nuts-bio2-damasco-7-cast-75g/p,7898176580418,Mercearia,Funcionais, Diet e Light,Cereais,BARRA DE CEREAL NUTS BIO2 DAMASCO 7 CASTANHA 75G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/250777-1000-1000/7898176580418.jpg?v=637002222365000000
https://www.superabc.com.br/7896079840233pao-de-mel-matinal-80g/p,7896079840233,Mercearia,Bomboniere,Bombons e Chocolates,PÃO DE MEL MATINAL 80G - UNIDADE,3.39,https://abcemcasa.vteximg.com.br/arquivos/ids/263810-1000-1000/7896079840233.jpg?v=637002348442770000
https://www.superabc.com.br/7898936630063-amend-fontini-salsa-ceb-190g/p,7898936630063,Mercearia,Conservas e Enlatados,Outros,AMENDOIM FONTINI SALSA CEBOLA 190G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/269371-1000-1000/7898936630063.jpg?v=637008076907300000
https://www.superabc.com.br/7897395040390-cerv-lata-itaipava-s-alcool-350ml/p,7897395040390,Bebidas,Cervejas,Sem Álcool,CERVEJA LATA ITAIPAVA SEM ÁLCOOL 350ML - UNIDADE,2.79,https://abcemcasa.vteximg.com.br/arquivos/ids/226933-1000-1000/7897395040390.jpg?v=636933749914300000
https://www.superabc.com.br/7898176580401-br-nuts-bio2-coco-7-cast-75g/p,7898176580401,Mercearia,Funcionais, Diet e Light,Cereais,BARRA DE CEREAL NUTS BIO2 COCO 7 CASTANHA 75G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/250775-1000-1000/7898176580401.jpg?v=637002222356230000
https://www.superabc.com.br/7896079832139bomb-montevergine-tocata-ban-80g/p,7896079832139,Mercearia,Bomboniere,Bombons e Chocolates,BOMBOM MONTEVERGINE TOCATA BANANA 80G - UNIDADE,9.39,https://abcemcasa.vteximg.com.br/arquivos/ids/252074-1000-1000/7896079832139.jpg?v=637002228116830000
https://www.superabc.com.br/7898936630049-amend-fontini-pimenta-190g/p,7898936630049,Mercearia,Conservas e Enlatados,Outros,AMENDOIM FONTINI PIMENTA 190G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/269369-1000-1000/7898936630049.jpg?v=637008076896570000
https://www.superabc.com.br/7897453201817dc-de-leite-br-hue-diet-240g/p,7897453201817,Mercearia,Funcionais, Diet e Light,Diet,DOCE DE LEITE BR HUE DIET 240G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/255985-1000-1000/7897453201817.jpg?v=637002272933530000
https://www.superabc.com.br/7891149210503cerv-lata-caracu-350ml/p,7891149210503,Bebidas,Cervejas,Premium,CERVEJA LATA CARACU 350ML - UNIDADE,3.49,https://abcemcasa.vteximg.com.br/arquivos/ids/269015-1000-1000/7891149210503.jpg?v=637008074820170000
https://www.superabc.com.br/7896079830135bomb-montevergine-tocata-uva-passa-80g/p,7896079830135,Mercearia,Bomboniere,Bombons e Chocolates,BOMBOM MONTEVERGINE TOCATA UVA PASSA 80G - UNIDADE,9.39,https://abcemcasa.vteximg.com.br/arquivos/ids/252076-1000-1000/7896079830135.jpg?v=637002228127170000
https://www.superabc.com.br/7897453200292bananada-hue-diet-240g/p,7897453200292,Mercearia,Funcionais, Diet e Light,Diet,BANANADA HUE DIET 240G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/250715-1000-1000/7897453200292.jpg?v=637002222101530000
https://www.superabc.com.br/7898936630032-amend-fontini-chur-190g/p,7898936630032,Mercearia,Conservas e Enlatados,Outros,AMENDOIM FONTINI CHURRASCO 190G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/269368-1000-1000/7898936630032.jpg?v=637008076890970000
https://www.superabc.com.br/7891149107773cerv-lata-skol-350ml-c-18/p,7891149107773,Bebidas,Cervejas,Pilsen,CERVEJA LATA SKOL 350ML C/18 - UNIDADE,41.22,https://abcemcasa.vteximg.com.br/arquivos/ids/241855-1000-1000/7891149107773.jpg?v=636941561201600000
https://www.superabc.com.br/7896798600958-br-semente-levita-ger-cast-c-3/p,7896798600958,Mercearia,Funcionais, Diet e Light,Cereais,BARRA SEMENTE LEVITA GER CASTANHA COM 3 - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/250811-1000-1000/7896798600958.jpg?v=637002222507300000
https://www.superabc.com.br/7896058551259bala-dori-gomets-pudim-100g/p,7896058551259,Mercearia,Bomboniere,Guloseimas,BALA DORI GOMETS PUDIM 100G - UNIDADE,3.19,https://abcemcasa.vteximg.com.br/arquivos/ids/250486-1000-1000/7896058551259.jpg?v=637002221057230000
https://www.superabc.com.br/7898936629593-ameixa-fontini-s-c-250g/p,7898936629593,Mercearia,Conservas e Enlatados,Outros,AMEIXA FONTINI S/CAROÇO 250G - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/249861-1000-1000/7898936629593.jpg?v=637002215837470000
https://www.superabc.com.br/7891991015493cerv-lata-original-350ml/p,7891991015493,Bebidas,Cervejas,Pilsen,CERVEJA LATA ORIGINAL 350ML,2.99,https://abcemcasa.vteximg.com.br/arquivos/ids/274738-1000-1000/original.jpg?v=637151419865300000
https://www.superabc.com.br/7896798600927-br-semente-levita-ger-linhaca-c-3/p,7896798600927,Mercearia,Funcionais, Diet e Light,Cereais,BARRA SEMENTE LEVITA GER LINHAÇA COM 3 - UNIDADE,nan,https://abcemcasa.vteximg.com.br/arquivos/ids/250813-1000-1000/7896798600927.jpg?v=637002222513700000
https://www.superabc.com.br/7891095154074condim-canela-po-kitano-50g/p,7891095154074,Mercearia,Conservas e Enlatados,Condimento e Temperos,CONDIMENTO-CANELA PÓ KITANO 50G - UNIDADE,5.19,https://abcemcasa.vteximg.com.br/arquivos/ids/254470-1000-1000/Principal.jpg?v=637002256378270000
https://www.superabc.com.br/7898149995607cerv-lata-estrella-sirius-p-malte-473ml/p,7898149995607,Bebidas,Cervejas,Pilsen,CERVEJA LATA ESTRELLA SIRIUS P MALTE 473ML - UNIDADE,2.59,https://abcemcasa.vteximg.com.br/arquivos/ids/269287-1000-1000/7898149995607.jpg?v=637008076452970000
https://www.superabc.com.br/7896058551242bala-dori-gomets-minhoca-100g/p,7896058551242,Mercearia,Bomboniere,Guloseimas,BALA DORI GOMETS MINHOCA 100G - UNIDADE,3.19,https://abcemcasa.vteximg.com.br/arquivos/ids/250483-1000-1000/7896058551242.jpg?v=637002221041000000
https://www.superabc.com.br/7891095029617-caldo-kitano-leg-30g/p,7891095029617,Mercearia,Conservas e Enlatados,Condimento e Temperos,CALDO KITANO LEG 30G - UNIDADE,6.69,https://abcemcasa.vteximg.com.br/arquivos/ids/252753-1000-1000/Principal.jpg?v=637002249057500000
https://www.superabc.com.br/7896058516302bala-dori-goma-tubo-frutas-sort-96g-c-3/p,7896058516302,Mercearia,Bomboniere,Guloseimas,BALA DORI GOMA TUBO FRUTAS SORTIDAS 96G C/3 - UNIDADE,4.79,https://abcemcasa.vteximg.com.br/arquivos/ids/250473-1000-1000/7896058516302.jpg?v=637002220988430000
https://www.superabc.com.br/7898149995508cerv-lata-estrella-sirius-pilsen-473ml/p,7898149995508,Bebidas,Cervejas,Pilsen,CERVEJA LATA ESTRELLA SIRIUS PILSEN 473ML - UNIDADE,1.99,https://abcemcasa.vteximg.com.br/arquivos/ids/241854-1000-1000/7898149995508.jpg?v=636941561192370000
https://www.superabc.com.br/7891095006304-caldo-kitano-car-57g/p,7891095006304,Mercearia,Conservas e Enlatados,Condimento e Temperos,CALDO KITANO CARNE 57G - UNIDADE,1.89,https://abcemcasa.vteximg.com.br/arquivos/ids/252747-1000-1000/7891095006304.jpg?v=637002249026270000
